"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Land under cereal production (hectares)","AG.LND.CREL.HA","","24829776","25301332","25898736","25855980","26446153","26873816","28856437","28397873","29720296","29679450","30611798","31051898","29296100","30884583","30306267","31564774","31042701","31098385","29512153","30735265","31595579","30849874","31552565","31655764","34771309","35863020","33697837","38036172","35177677","31504570","33754551","34593582","33820636","40218637","36941363","40233035","41658119","39180833","37085917","36912463","38606351","38519653","44230308","40301847","49232324","43677640","43989024","46460201","46871505","48129579","50545225","46378756","52397803","55090517","49491413","55716244","53687176","54948953","51980753","55508093","55883601","55632576","","",
"Afghanistan","AFG","Land under cereal production (hectares)","AG.LND.CREL.HA","","3313500","3425500","3426500","3446500","3444500","3446500","3124500","3041500","3081500","3178000","3400000","3923100","3337000","3342000","3404000","3394000","3388000","3392000","3183500","3018500","2909000","2799500","2649000","2562000","2434500","2347000","2496000","2331000","2290000","2253000","2345071","2250000","2631882","2757000","2669450","2691670","2730401","2792105","2532871","2406000","2094000","2238000","3004700","2667000","3030000","2989000","3021000","2714000","3192000","2962000","2820000","3143000","3182922","3344733","2724070","2793694","2419213","1910389","2641911","3043589","2368118","2141199","","",
"Africa Western and Central","AFW","Land under cereal production (hectares)","AG.LND.CREL.HA","","22506121","23139749","23521897","23682246","24774354","22626585","24016425","23358857","27551782","25652987","25022578","21520832","25192236","24009119","22091216","24057598","22178287","21076038","21016349","22014894","19920623","20578251","21373022","23574750","26006920","29387071","29871895","31494026","33706876","35323092","37573188","38657982","39273528","40620092","41027229","39280226","39434016","41026006","40760122","40153102","40137487","41805594","43087394","41724131","44940649","46887570","47291663","49564067","43811763","51101391","48733493","50541827","51717446","52658144","52320543","55886191","57329339","58485626","56473719","57238802","57415007","58482771","","",
"Angola","AGO","Land under cereal production (hectares)","AG.LND.CREL.HA","","657000","654000","645000","644000","603000","609000","632200","653000","721000","632000","649000","658000","718000","721000","721000","726000","713000","712000","709000","704000","700500","699000","695400","688800","685800","899000","956000","1006000","982000","774281","891200","1011875","1201385","955000","737214","795291","791198","868838","872348","920726","1026812","1170009","1140009","1509879","1568233","1622092","1682171","1156211","1849528","1878155","2132989","923085","2056204","2052732","2055726","2781774","3066375","3026880","3027940","3099418","3052849","3071528","","",
"Albania","ALB","Land under cereal production (hectares)","AG.LND.CREL.HA","","347764","332882","298725","342158","323238","328443","332935","323150","322299","327282","312203","331220","339400","334040","328500","350500","357000","356000","365800","372500","361600","357400","350300","350400","343000","349800","345900","347000","348900","321000","215339","198700","247936","262515","227137","205526","212488","210906","177800","178200","165800","157600","153340","143900","147655","140870","132390","149100","146200","145700","147599","142800","142000","143149","142600","148084","145799","140110","132203","131310","134337","132839","","",
"Andorra","AND","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Land under cereal production (hectares)","AG.LND.CREL.HA","","18584301","19335702","20300188","19962877","19846778","18323303","20784080","20149935","20271727","21401250","19903648","21784102","21422455","22051547","22776328","24418324","22227956","23263857","22086289","22988703","23489576","22694791","23674984","21963384","27775078","26029916","23937943","26634547","26154005","25882519","29641987","31259073","28276457","31381967","27186509","31819685","28365488","31519162","26670369","24858429","27699700","26229201","31227607","27095792","34533436","30354055","29792728","27075764","29169791","27790566","29559972","25752885","30527463","31966058","25486477","29325582","28138629","28832670","29337232","29548555","27597465","26188249","","",
"United Arab Emirates","ARE","Land under cereal production (hectares)","AG.LND.CREL.HA","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","165","350","376","375","890","900","952","970","991","790","673","624","1474","1721","1552","1079","772","768","723","283","243","236","231","208","173","113","108","107","106","87","107","138","295","191","312","21","181","105","179","557","392","1094","1391","1185","975","","",
"Argentina","ARG","Land under cereal production (hectares)","AG.LND.CREL.HA","","10287500","8699220","11468110","12281330","9866080","11122075","12185670","12408430","11884800","11221810","12321590","11702050","11688950","11538000","11780050","13051770","10542300","11425900","11131900","9952900","12377000","14052800","13599000","12337485","11508250","10119555","9631373","8835955","8515784","8504919","9386545","8748790","8370535","8619890","9061870","8872500","12189268","10603135","9574275","10972298","10785378","10702110","9814395","9345371","10291886","8701693","9796747","10921189","8046915","8155785","11077808","11380945","10581024","10522262","11713405","11751642","14135508","15112335","15273923","16595690","16886709","18063791","","",
"Armenia","ARM","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162767","181430","158077","133512","166633","186100","182500","164489","156883","191699","184869","194815","198015","202111","157557","172630","170141","164014","155666","156138","170172","176945","180626","190209","194717","150892","127436","115382","117720","116382","109574","","",
"American Samoa","ASM","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","12","8","12","20","25","35","40","14","18","32","28","18","20","50","17","25","33","38","17","20","21","25","28","28","21","30","30","30","30","28","30","30","30","30","30","31","32","35","38","38","40","40","42","42","40","45","44","45","46","47","35","25","17","10","3","5","5","","",
"Australia","AUS","Land under cereal production (hectares)","AG.LND.CREL.HA","","8441623","9154626","9191184","9822032","9846764","11504354","11884253","14121516","12781700","10598124","11689197","11555097","12891607","11744994","12564985","12967979","14599138","15042503","15457828","15587177","16912666","16201605","18873052","17772613","17165159","15771295","13857882","13434992","13347412","13428753","13413725","11921408","13146872","13640768","12361512","14726894","16546006","15923700","16887700","16792290","17716654","17561143","17196654","20026924","20274539","19181586","18110965","20159099","20674118","20141256","19057341","19431383","18381762","17971289","18347387","16976709","18716022","16634020","16527516","16123658","20048257","19548270","","",
"Austria","AUT","Land under cereal production (hectares)","AG.LND.CREL.HA","","902089","897794","888269","896099","866741","900828","902756","911199","957929","961847","969719","975268","982257","986019","987058","1024869","1026231","1053361","1067918","1068780","1050430","1051744","1067296","1051447","1053466","1058754","1000352","966344","946951","948437","924565","838900","826603","822728","809135","833764","849121","840960","811405","831695","825984","816775","812408","819595","800099","780782","815523","845637","839771","824426","809471","813509","786663","811771","783127","786833","778650","778940","776400","764890","747450","754950","","",
"Azerbaijan","AZE","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","626829","702734","631164","603597","621357","643759","579134","512170","640713","752066","813191","765399","806034","792935","773895","728677","882711","1113798","954540","954274","1017875","1061005","980561","940007","986891","959992","1055769","1054887","976402","988089","966183","","",
"Burundi","BDI","Land under cereal production (hectares)","AG.LND.CREL.HA","","137397","127800","141460","149900","150750","155802","155124","157700","152102","154623","154613","151723","158398","146930","162468","164370","167100","163700","194000","203668","210102","205500","207500","202000","222126","219195","227400","244250","216150","217500","219000","220000","214974","176284","202000","196675","212528","204200","202000","207403","221000","223400","220067","218800","220900","232500","231335","232432","239225","262381","293037","232079","215706","177786","216211","315843","333695","347705","378538","363833","309744","314390","","",
"Belgium","BEL","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","313300","287000","310474","300210","319218","322166","320570","314751","350366","335264","325351","326241","341312","336226","335211","321445","327535","305433","304520","313110","304350","310210","323070","","",
"Benin","BEN","Land under cereal production (hectares)","AG.LND.CREL.HA","","531800","585468","553182","556454","519948","493391","543196","508454","493091","493826","446885","488973","500470","473845","403870","383638","432443","563890","539828","481650","553152","542482","585376","604468","625625","593932","552571","667296","661838","643859","665691","667314","680219","674452","675896","707595","784772","821252","838189","901324","881728","960147","907779","967614","1013628","920580","901020","1093977","1059450","1110660","1017434","1147742","1211080","1173784","1229296","1246199","1350154","1624577","1758745","1537675","1639128","1687377","","",
