FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A,Annual,ABW,Aruba,FAO_RP_5157,Pesticides Agricultural Use (FAO_RP),T,Tonnes,FAO_ITEM_1309,Item: Insecticides,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,34.13,35.87,39.18,44.23,49.38,54.44,58.07,59.79,60.47,61.51,63.22,64.32,66.5,69.08,73.06,75.44,76.9,77.84,79.35,81.51,81.84,75.21,68.59,62.25,59.33,67.51,65.65,65.09,53.1,54.84,61.4,65.75,67.72
A,Annual,ABW,Aruba,FAO_RP_5157,Pesticides Agricultural Use (FAO_RP),T,Tonnes,FAO_ITEM_1320,Item: Herbicides,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,74.28,77.51,84.17,94.24,105.11,116.21,127.7,137.99,148.0,159.42,173.92,191.27,206.63,219.93,231.58,247.04,266.39,287.09,306.75,324.8,339.0,322.62,299.03,267.63,252.75,292.27,294.34,298.5,247.7,257.34,292.29,313.82,325.1
A,Annual,ABW,Aruba,FAO_RP_5157,Pesticides Agricultural Use (FAO_RP),T,Tonnes,FAO_ITEM_1331,Item: Fungicides and Bactericides,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,18.28,19.29,21.09,23.73,25.81,27.97,30.81,34.66,39.04,41.94,43.21,42.83,43.77,47.01,51.68,55.27,56.92,59.27,63.85,70.69,75.43,69.78,62.11,54.25,52.92,63.18,66.1,69.26,59.53,63.79,73.15,78.93,81.42
A,Annual,ABW,Aruba,FAO_RP_5157,Pesticides Agricultural Use (FAO_RP),T,Tonnes,FAO_ITEM_1357,Item: Pesticides (total),FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,148.21,155.18,169.1,189.98,210.87,231.75,252.64,273.52,294.41,315.3,336.18,357.07,377.95,398.84,419.72,440.61,461.49,482.38,503.26,524.81,537.55,501.68,458.58,410.08,390.52,454.47,459.14,466.78,387.96,403.88,457.71,491.17,507.91
A,Annual,ABW,Aruba,FAO_RP_5172,Pesticides Use per capita (FAO_RP),KG_CAP,Kilograms per person,_Z,Not Applicable,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,2.26,2.29,2.41,2.63,2.82,3.01,3.18,3.34,3.49,3.63,3.77,3.94,4.12,4.3,4.49,4.66,4.64,4.61,4.59,4.56,4.54,4.51,4.49,3.99,3.77,4.36,4.38,4.43,3.66,3.79,4.29,4.61,4.61
A,Annual,AGO,Angola,FAO_RP_5157,Pesticides Agricultural Use (FAO_RP),T,Tonnes,FAO_ITEM_1309,Item: Insecticides,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,56.0,74.0,13.0,153.0,22.0,205.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
A,Annual,AGO,Angola,FAO_RP_5157,Pesticides Agricultural Use (FAO_RP),T,Tonnes,FAO_ITEM_1320,Item: Herbicides,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.0,0.0,2.0,1.0,65.0,129.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A,Annual,AGO,Angola,FAO_RP_5157,Pesticides Agricultural Use (FAO_RP),T,Tonnes,FAO_ITEM_1331,Item: Fungicides and Bactericides,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,5.0,5.0,8.0,13.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A,Annual,AGO,Angola,FAO_RP_5157,Pesticides Agricultural Use (FAO_RP),T,Tonnes,FAO_ITEM_1357,Item: Pesticides (total),FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,64.0,79.0,23.0,169.0,89.5,336.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
A,Annual,AGO,Angola,FAO_RP_5159,Pesticides Use per area of cropland (FAO_RP),KG_HA,Kilogram per hectare,_Z,Not Applicable,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.02,0.03,0.01,0.05,0.03,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
